CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
213112	R -3 c H	La0.67 Pb0.28 Na0.05 (Mn O3)	LaAlO3	Zaidi, Asma; Cherif, Karima; Dhahri, J.; Hlil, E.K.; Zaidi, M.; Alharbi, T.	5.5086(4) 5.5086(4) 13.4638(9) 90. 90. 120.	353.82	293.00	0.101325	2015	10	
213113	R -3 c H	La0.67 Pb0.23 Na0.10 (Mn O3)	LaAlO3	Zaidi, Asma; Cherif, Karima; Dhahri, J.; Hlil, E.K.; Zaidi, M.; Alharbi, T.	5.5001(5) 5.5001(5) 13.4630(4) 90. 90. 120.	352.71	293.00	0.101325	2015	10	
213119	R -3 c H	La0.67 Pb0.18 Na0.15 (Mn O3)	LaAlO3	Zaidi, Asma; Cherif, Karima; Dhahri, J.; Hlil, E.K.; Zaidi, M.; Alharbi, T.	5.4966(7) 5.4966(7) 13.4622(4) 90. 90. 120.	352.24	293.00	0.101325	2015	10	
213831	R -3 c H	La0.5 Sr0.5 Co0.5 Mn0.5 O3	LaAlO3	Troyanchuk, I.O.; Bushinskii, M.V.; Chobot, A.N.; Tereshko, N.V.; Mantytskaya, O.S.; Efimova, E.A.; Sikolenko, V.V.; Dobryanskii, V.M.	5.441(1) 5.441(1) 13.238(6) 90. 90. 120.	339.40	2.00	0.101325	2017	10	
216639	R -3 c H	La0.5 Sr0.5 Co0.5 Mn0.5 O3	LaAlO3	Troyanchuk, I.O.; Bushinskii, M.V.; Chobot, A.N.; Tereshko, N.V.; Mantytskaya, O.S.; Efimova, E.A.; Sikolenko, V.V.; Dobryanskii, V.M.	5.442(8) 5.442(8) 13.270(4) 90. 90. 120.	340.34	300.00	0.101325	2017	10	
216640	R -3 c H	La0.4 Sr0.6 Co0.5 Mn0.5 O3	LaAlO3	Troyanchuk, I.O.; Bushinskii, M.V.; Chobot, A.N.; Tereshko, N.V.; Mantytskaya, O.S.; Efimova, E.A.; Sikolenko, V.V.; Dobryanskii, V.M.	5.427(7) 5.427(7) 13.242(5) 90. 90. 120.	337.76	2.00	0.101325	2017	10	
216641	R -3 c H	La0.4 Sr0.6 Co0.5 Mn0.5 O3	LaAlO3	Troyanchuk, I.O.; Bushinskii, M.V.; Chobot, A.N.; Tereshko, N.V.; Mantytskaya, O.S.; Efimova, E.A.; Sikolenko, V.V.; Dobryanskii, V.M.	5.433(9) 5.433(9) 13.281(8) 90. 90. 120.	339.50	300.00	0.101325	2017	10	
230455	R -3 m H	Li0.594 Na0.035 Mn0.897 Ti0.103 O2	α−NaFeO2	Ishida, Naoya; Miyazawa, Kazuki; Kitamura, Naoto; Akimoto, Junji; Idemoto, Yasushi	2.8397(3) 2.8397(3) 14.562(2) 90. 90. 120.	101.69	293.00	0.101325	2018	10	
230456	R -3 m H	Li0.594 Na0.035 Mn0.897 Ti0.103 O2	α−NaFeO2	Ishida, Naoya; Miyazawa, Kazuki; Kitamura, Naoto; Akimoto, Junji; Idemoto, Yasushi	2.85206(6) 2.85206(6) 14.6104(7) 90. 90. 120.	102.93	293.00	0.101325	2018	10	
230885	R -3 m H	Ba2 La2 Mn W2 O12	Ba4Re2CoO12	Rawl, R.; Lee, M.; Choi, E.S.; Li, G.; Chen, K.W.; Baumbach, R.; de la Cruz, C.R.; Ma, J.; Zhou, H.D.	5.72804(74) 5.72804(74) 27.38715(384) 90. 90. 120.	778.19	293.00	0.101325	2017	10	
236105	R -3 c H	La0.65 Ce0.05 Sr0.3 Mn O3	LaAlO3	Chebaane, M.; Bellouz, R.; Oumezzine, Ma.; Hlil, E.K.; Fouzri, A.	5.5037(1) 5.5037(1) 13.3691(2) 90. 90. 120.	350.71	293.00	0.101325	2018	10	
236367	R -3 c H	(La0.67 Sr0.33) (Mn0.95 V0.05) O3	LaAlO3	Mnefgui, Safa; Dhahri, Abdessalem; Dhahri, Jemai; Hlil, El-Kebir	5.5044(0) 5.5044(0) 13.360(5) 90. 90. 120.	350.56	293.00	0.101325	2013	10	
236368	R -3 c H	(La0.67 Sr0.33) (Mn0.9 V0.1) O3	LaAlO3	Mnefgui, Safa; Dhahri, Abdessalem; Dhahri, Jemai; Hlil, El-Kebir	5.5093(8) 5.5093(8) 13.365(5) 90. 90. 120.	351.31	293.00	0.101325	2013	10	
236369	R -3 c H	(La0.67 Sr0.33) (Mn0.85 V0.15) O3	LaAlO3	Mnefgui, Safa; Dhahri, Abdessalem; Dhahri, Jemai; Hlil, El-Kebir	5.5164(3) 5.5164(3) 13.368(2) 90. 90. 120.	352.30	293.00	0.101325	2013	10	
239972	R -3 m H	Li0.959 Ni0.041 (Li0.245 Ni0.206 Mn0.433 Co0.116) O2	α−NaFeO2	Chen, Chih-Jung; Pang, Wei Kong; Mori, Tatsuhiro; Peterson, Vanessa K.; Sharma, Neeraj; Lee, Po-Han; Wu, She-huang; Wang, Chun-Chieh; Song, Yen-Fang; Liu, Ru-Shi	2.8583(2) 2.8583(2) 14.2545(5) 90. 90. 120.	100.86	293.00	0.101325	2016	10	
241361	R -3 c H	(La0.8 Sr0.2) (Mn0.9 Sb0.1) O3	LaAlO3	Karpinsky, D.V.; Troyanchuk, I.O.; Silibin, M.V.; Gavrilov, S.A.; Bushinsky, M.V.; Sikolenko, V.; Sirenko, V.; Tebbens, D.	5.5618(1) 5.5618(1) 13.4651(2) 90. 90. 120.	360.72	300.00	0.101325	2015	10	
247885	R -3 c R	(La0.5 Sr0.5) (Mn0.5 Ti0.5) O3	LaAlO3	Qasim, Ilyas; Kennedy, Brendan J.	5.51836(3) 5.51836(3) 5.51836(3) 60.283(1) 60.283(1) 60.283(1)	119.59	293.00	0.101325	2013	10	
248779	R -3 c H	(La0.67 Ba0.23 Ca0.1) Mn O3	LaAlO3	Abassi, Mounira; Dhahri, N.; Dhahri, J.; Hlil, E.K.	5.5740(1) 5.5740(1) 13.4800(1) 90. 90. 120.	362.71	293.00	0.101325	2014	10	
248784	R -3 c H	(La0.52 Dy0.15 Pb0.33) Mn O3	LaAlO3	Zaidi, N.; Mnefgui, S.; Dhahri, A.; Dhahri, J.; Hlil, E.K.	5.5405(6) 5.5405(6) 13.4622(3) 90. 90. 120.	357.89	293.00	0.101325	2014	10	
248785	R -3 c H	(La0.47 Dy0.20 Pb0.33) Mn O3	LaAlO3	Zaidi, N.; Mnefgui, S.; Dhahri, A.; Dhahri, J.; Hlil, E.K.	5.5390(3) 5.5390(3) 13.4595(2) 90. 90. 120.	357.62	293.00	0.101325	2014	10	
250081	R -3 c H	K0.52 (Mn0.47 Zr0.45)2 (Mo O4)3	NaZr2(PO4)3-[R-3c]	Klevtsova, R.F.; Bazarov, B.G.; Glinskaya, L.A.; Vasil'ev, A.D. (Vasilev, A.D.); Klevtsov, P.V.; Bazarova, Zh.G.	9.474(1) 9.474(1) 24.371(4) 90 90 120	1894.40	293.00	0.101325	2003	10	
