CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
163990	P m -3 m	(Sr0.8 Ce0.2) (Mn0.8 Co0.2) O3	CaTiO3	Zhang Zhao Ming; Howard, C.J.; Kennedy, B.J.; Matsuda, M.; Miyake, M.	3.86092(1) 3.86092(1) 3.86092(1) 90. 90. 90.	57.55	773.00	0.101325	2009	10	
167010	P m -3 m	(Bi0.5 Ba0.5) ((Mn0.5 Ti0.5) O3)	CaTiO3	Norberg, S.T.; Hull, S.; Mathieu, R.; Eriksson, S.G.	3.99366(2) 3.99366(2) 3.99366(2) 90. 90. 90.	63.70	293.00	0.101325	2010	10	
167011	P m -3 m	(Bi0.5 Sr0.5) ((Mn0.5 Ti0.5) O3)	CaTiO3	Norberg, S.T.; Hull, S.; Mathieu, R.; Eriksson, S.G.	3.92872(3) 3.92872(3) 3.92872(3) 90. 90. 90.	60.64	293.00	0.101325	2010	10	
191150	P m -3 m	(Sr0.9 Ca0.1) (Ti0.5 Mn0.5) O3	CaTiO3	Qasim, Ilyas; Blanchard, Peter E.R.; Kennedy, Brendan J.; Kamiyama, Takashi; Miao, Ping; Torii, Shuki	3.84850(1) 3.84850(1) 3.84850(1) 90. 90. 90.	57.00	293.00	0.101325	2014	10	
191151	P m -3 m	(Sr0.8 Ca0.2) (Ti0.5 Mn0.5) O3	CaTiO3	Qasim, Ilyas; Blanchard, Peter E.R.; Kennedy, Brendan J.; Kamiyama, Takashi; Miao, Ping; Torii, Shuki	3.84255(2) 3.84255(2) 3.84255(2) 90. 90. 90.	56.74	293.00	0.101325	2014	10	
192451	P m -3 m	(La0.25 Sr0.75) ((Mn0.5 Ti0.5) O3)	CaTiO3	Qasim, Ilyas; Blanchard, Peter E. R.; Kennedy, Brendan J.; Ling, Chris D.; Jang, Ling-Yun; Kamiyama, Takashi; Miao, Ping; Torii, Shuki	3.88590(11) 3.8859 3.8859 90. 90. 90.	58.68	300.00	0.101325	2014	10	
193193	P m -3 m	(Nd0.5 Ba0.5) (Co0.25 Mn0.75) O2.7	CaTiO3	Broux, Thibault; Bahout, Mona; Hanlon, James M.; Hernandez, Olivier; Paofai, Serge; Berenov, Andrey; Skinner, Stephen J.	3.89518(5) 3.89518(5) 3.89518(5) 90. 90. 90.	59.10	293.00	0.101325	2014	10	
211499	P m -3 m	La0.6 Sr0.4 Fe0.67 Mn0.33 O2.84	CaTiO3	Telford, Daniel M.; Hu, Wenting; Metcalfe, Ian S.; Jones, Martin O.; Henry, Paul F.; Evans, John S.O.	3.906883(18) 3.906883(18) 3.906883(18) 90. 90. 90.	59.63	293.00	0.101325	2025	10	
251504	P m -3 m	Ba (Ca0.335 Mn0.165 Nb0.5) O2.754	CaTiO3	Kan, Wang Hay; Lussier, Joey; Bieringer, Mario; Thangadurai, Venkataraman	4.1864(4) 4.1864(4) 4.1864(4) 90. 90. 90.	73.37	1273.00	0.101325	2014	10	
262764	P m -3 m	(Ca0.5 Sr0.5) (Fe0.73 Mn0.27) O2.68	CaTiO3	Ramezanipour, F.; Greedan, J.E.; Cranswick, L.M.D.; Garlea, V.O.; Donaberger, R.L.; Siewenie, J.	3.8281(1) 3.8281(1) 3.8281(1) 90. 90. 90.	56.10	300.00	0.101325	2012	10	
262765	P m -3 m	(Ca0.5 Sr0.5) (Fe0.66 Mn0.34) O2.7	CaTiO3	Ramezanipour, F.; Greedan, J.E.; Cranswick, L.M.D.; Garlea, V.O.; Donaberger, R.L.; Siewenie, J.	3.8219(1) 3.8219(1) 3.8219(1) 90. 90. 90.	55.83	300.00	0.101325	2012	10	
262766	P m -3 m	(Ca0.5 Sr0.5) (Fe0.49 Mn0.51) O2.76	CaTiO3	Ramezanipour, F.; Greedan, J.E.; Cranswick, L.M.D.; Garlea, V.O.; Donaberger, R.L.; Siewenie, J.	3.8188(4) 3.8188(4) 3.8188(4) 90. 90. 90.	55.69	300.00	0.101325	2012	10	
262990	P m -3 m	(Co0.43 Mn0.57) (Sr0.75 Y0.25) O2.73	CaTiO3	Napolsky, P.S.; Drozhzhin, O.A.; Istomin, S.Ya.; Kazakov, S.M.; Antipov, E.V.; Galeeva, A.V.; Gippius, A.A.; Svensson, G.; Abakumov, A.M.; van Tendeloo, G.	3.82821(2) 3.82821(2) 3.82821(2) 90. 90. 90.	56.10	293.00	0.101325	2012	10	
391346	P m -3 m	La0.66 Ca0.29 K0.05 (Mn O3)	CaTiO3	Feng, Shou Hua; Yuan, Hong Ming; Shi, Zhan; Chen, Yan; Wang, Yong Wei; Huang, Ke Ke; Hou, Chang Min; Li, Ji Xue; Pang, Guang Sheng; Hou, Ying	3.8864(4) 3.8864(4) 3.8864(4) 90. 90. 90.	58.70	293.00	0.101325	2008	10	
422573	P m -3 m	Ba (Mn0.01 Ti0.94 Zr0.045) O3	CaTiO3	Chourasia, R.; Shrivastava, O.P.	4.00076(7) 4.00076(7) 4.00076(7) 90.0 90.0 90.0	64.04	293.00	0.101325	2011	10	
37541	P m -3 m	La0.75 Ba0.25 Fe0.5 Mn0.5 O3	CaTiO3	Dutta, Uma; Hossain, Aslam; Walke, Pravin S.; Ghosh, Debamalya; Mordvinova, Natalia E.; Lebedev, Oleg I.; Haque, Ariful; Pal, Kamalesh; Gayen, Arup; Kundu, Asish K.; Seikh, Md. Motin	3.915(2) 3.915(2) 3.915(2) 90. 90. 90.	60.01	293.00	0.101325	2019	-1	
37542	P m -3 m	La0.67 Ba0.33 Fe0.5 Mn0.5 O3	CaTiO3	Dutta, Uma; Hossain, Aslam; Walke, Pravin S.; Ghosh, Debamalya; Mordvinova, Natalia E.; Lebedev, Oleg I.; Haque, Ariful; Pal, Kamalesh; Gayen, Arup; Kundu, Asish K.; Seikh, Md. Motin	3.917(1) 3.917(1) 3.917(1) 90. 90. 90.	60.10	293.00	0.101325	2019	-1	
