CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
82824	P b n m	((La0.75 Tb0.25)0.667 Ca0.333) Mn O3	GdFeO3	Blasco, J.; Garcia, J.; de Teresa, J.M.; Ibarra, M.R.; Algarabel, P.A.; Marquina, C.	5.4400(1) 5.4552(1) 7.6826(2) 90. 90. 90.	227.99	293.00	0.101325	1996	10	
82825	P b n m	((La0.67 Tb0.33)0.667 Ca0.333) Mn O3	GdFeO3	Blasco, J.; Garcia, J.; de Teresa, J.M.; Ibarra, M.R.; Algarabel, P.A.; Marquina, C.	5.4284(1) 5.4594(1) 7.6699(1) 90. 90. 90.	227.30	293.00	0.101325	1996	10	
82826	P b n m	((La0.5 Tb0.5)0.667 Ca0.333) Mn O3	GdFeO3	Blasco, J.; Garcia, J.; de Teresa, J.M.; Ibarra, M.R.; Algarabel, P.A.; Marquina, C.	5.4018(1) 5.4595(1) 7.6400(1) 90. 90. 90.	225.31	293.00	0.101325	1996	10	
82827	P b n m	((La0.25 Tb0.75)0.667 Ca0.333) Mn O3	GdFeO3	Blasco, J.; Garcia, J.; de Teresa, J.M.; Ibarra, M.R.; Algarabel, P.A.; Marquina, C.	5.3672(3) 5.4995(3) 7.5728(4) 90. 90. 90.	223.53	293.00	0.101325	1996	10	
83667	P 21 c n	Sr Mn2 (Si2 O7) (O H)2 (H2 O)	CaAl2Si2O7(OH)2H2O	Libowitzky, E.; Armbruster, T.	6.247(1) 9.034(1) 13.401(2) 90. 90. 90.	756.29	295.00	0.101325	1996	10	
83668	C m c m	Sr Mn2 (Si2 O7) (O H)2 (H2 O)	SrMn2(Si2O7)(OH)2(H2O)	Libowitzky, E.; Armbruster, T.	6.255(1) 9.067(1) 13.431(2) 90. 90. 90.	761.73	518.00	0.101325	1996	10	
83772	P 21 21 21	Ca Mn O (Si O3 (O H))	CaCu(AsO4)(OH)	Nyfeler, D.; Hoffmann, C.; Armbruster, T.; Kunz, M.; Libowitzky, E.	5.837(1) 7.211(1) 8.693(1) 90. 90. 90.	365.89	100.00	0.101325	1997	10	
83773	P 21 21 21	Ca Mn O (Si O3 (O H))	CaCu(AsO4)(OH)	Nyfeler, D.; Hoffmann, C.; Armbruster, T.; Kunz, M.; Libowitzky, E.	5.842(1) 7.228(1) 8.704(1) 90. 90. 90.	367.53	300.00	0.101325	1997	10	
83774	P 21 21 21	Ca Mn O (Si O3 (O H))	CaCu(AsO4)(OH)	Nyfeler, D.; Hoffmann, C.; Armbruster, T.; Kunz, M.; Libowitzky, E.	5.846(1) 7.248(1) 8.726(1) 90. 90. 90.	369.74	500.00	0.101325	1997	10	
85643	I m m a	(La0.167 Nd0.333 Sr0.5) (Mn O3)	BaPbO3(oI20)	Woodward, P.M.; Vogt, T.; Cox, D.E.; Arulraj, A.; Rao, C.N.R.; Karen, P.; Cheetham, A.K.	5.43844(7) 7.6477(1) 5.47610(7) 90. 90. 90.	227.76	293.00	0.101325	1998	10	
