HMS,StructuredFormula,Temperature,Pressure,crystal_system,StructuredFormula_normalized
P n m a,(La0.65 Ca0.35) (Mn0.85 Ni0.15) O3,293.0,0.101325,orthorhombic,(La0.65Ca0.35)(Mn0.85Ni0.15)O3
P m m m,Nd Ba Mn1.8 Ti0.2 O6,293.0,0.101325,orthorhombic,NdBaMn1.8Ti0.2O6
P b n m,La0.67 Ca0.29 Sr0.04 Mn O3,293.0,0.101325,orthorhombic,La0.67Ca0.29Sr0.04MnO3
P n n m,Mg2 Mn5 O (O H)8 Si2 O6,293.0,0.101325,orthorhombic,Mg2Mn5O(OH)8Si2O6
P n m a,La0.95 Ba0.05 Mn0.95 Ti0.05 O3,293.0,0.101325,orthorhombic,La0.95Ba0.05Mn0.95Ti0.05O3
P n m a,La0.90 Ba0.10 Mn0.90 Ti0.10 O3,293.0,0.101325,orthorhombic,La0.90Ba0.10Mn0.90Ti0.10O3
P n m a,La0.875 Ba0.125 Mn0.875 Ti0.125 O3,293.0,0.101325,orthorhombic,La0.875Ba0.125Mn0.875Ti0.125O3
A m a m,La0.866 (Ca0.877 Sr0.19)2 Mn2.126 O6.393,293.0,0.101325,orthorhombic,La0.866(Ca0.877Sr0.19)2Mn2.126O6.393
P b n m,(Sm0.32 Pr0.18 Sr0.5) Mn O3,300.0,0.101325,orthorhombic,(Sm0.32Pr0.18Sr0.5)MnO3
I m m 2,K2 Mn2 Zn4 Si4 O15,293.0,0.101325,orthorhombic,K2Mn2Zn4Si4O15
P c c a,Rb (Mn Cl3) (H2 O)2,293.0,0.101325,orthorhombic,Rb(MnCl3)(H2O)2
P n m a,Pr0.75 Na0.25 Mn0.75 Ni0.25 O3,293.0,0.101325,orthorhombic,Pr0.75Na0.25Mn0.75Ni0.25O3
P n m a,(Pr0.75 Na0.25 Mn0.5 Ni0.5 O3)1.3333,293.0,0.101325,orthorhombic,(Pr0.75Na0.25Mn0.5Ni0.5O3)1.3333
P n m a,Bi0.85 Ca0.15 Fe0.5 Mn0.5 O3,300.0,0.101325,orthorhombic,Bi0.85Ca0.15Fe0.5Mn0.5O3
P m n 21,Li1.976 Mg Mn0.006 Ge1.018 O4,293.0,0.101325,orthorhombic,Li1.976MgMn0.006Ge1.018O4
P m n 21,Li1.978 Mg Mn0.022 Ge O4,293.0,0.101325,orthorhombic,Li1.978MgMn0.022GeO4
P m n 21,Li1.976 Mg Mn0.024 Ge O4,293.0,0.101325,orthorhombic,Li1.976MgMn0.024GeO4
C c c a Z,Mn Al2 (Si O3)2 (O H)4,293.0,0.101325,orthorhombic,MnAl2(SiO3)2(OH)4
P b n m,Fe1.84 Mg0.08 Mn0.08 (Si O4),293.0,0.101325,orthorhombic,Fe1.84Mg0.08Mn0.08(SiO4)
P n n m,(Mg3.44 Mn10.56) O2 (Si4 O12)1.33 (O H)13.33,293.0,0.101325,orthorhombic,(Mg3.44Mn10.56)O2(Si4O12)1.33(OH)13.33
P n m a,(Bi0.85 Ca0.15) (Fe0.55 Mn0.45) O3,300.0,0.101325,orthorhombic,(Bi0.85Ca0.15)(Fe0.55Mn0.45)O3
P n m a,(La0.53 Ca0.47) (Mn0.5 Cr0.5) O3,293.0,0.101325,orthorhombic,(La0.53Ca0.47)(Mn0.5Cr0.5)O3
P n m a,Pr0.45 Ca0.55 Mn0.95 V0.05 O3,293.0,0.101325,orthorhombic,Pr0.45Ca0.55Mn0.95V0.05O3
P n m a,Pr0.45 Ca0.55 Mn0.9 V0.1 O3,293.0,0.101325,orthorhombic,Pr0.45Ca0.55Mn0.9V0.1O3
P n m a,(Pr0.7 Ca0.3) ((Mn0.9 Fe0.1) O3),293.0,0.101325,orthorhombic,(Pr0.7Ca0.3)((Mn0.9Fe0.1)O3)
P n m a,(La0.66 Ca0.33 Y0.01) (Mn O3),298.0,0.101325,orthorhombic,(La0.66Ca0.33Y0.01)(MnO3)
P n m a,(La0.65 Ca0.33 Y0.02) (Mn O3),298.0,0.101325,orthorhombic,(La0.65Ca0.33Y0.02)(MnO3)
P n m a,(La0.64 Ca0.33 Y0.03) (Mn O3),298.0,0.101325,orthorhombic,(La0.64Ca0.33Y0.03)(MnO3)
P n m a,(La0.62 Ca0.33 Y0.05) (Mn O3),298.0,0.101325,orthorhombic,(La0.62Ca0.33Y0.05)(MnO3)
P n m a,(La0.59 Ca0.33 Y0.08) (Mn O3),298.0,0.101325,orthorhombic,(La0.59Ca0.33Y0.08)(MnO3)
P n m a,(La0.57 Ca0.33 Y0.1) (Mn O3),298.0,0.101325,orthorhombic,(La0.57Ca0.33Y0.1)(MnO3)
P n m a,(La0.52 Ca0.33 Y0.15) (Mn O3),298.0,0.101325,orthorhombic,(La0.52Ca0.33Y0.15)(MnO3)
P n m a,(La0.47 Ca0.33 Y0.2) (Mn O3),298.0,0.101325,orthorhombic,(La0.47Ca0.33Y0.2)(MnO3)
P n m a,(La0.42 Ca0.33 Y0.25) (Mn O3),298.0,0.101325,orthorhombic,(La0.42Ca0.33Y0.25)(MnO3)
P n m a,(La0.37 Ca0.33 Y0.3) (Mn O3),298.0,0.101325,orthorhombic,(La0.37Ca0.33Y0.3)(MnO3)
P b n m,(La0.57 Nd0.1 Ca0.33) (Mn O3),293.0,0.101325,orthorhombic,(La0.57Nd0.1Ca0.33)(MnO3)
P b n m,(La0.47 Nd0.2 Ca0.33) (Mn O3),293.0,0.101325,orthorhombic,(La0.47Nd0.2Ca0.33)(MnO3)
P b n m,(La0.335 Nd0.335 Ca0.33) (Mn O3),293.0,0.101325,orthorhombic,(La0.335Nd0.335Ca0.33)(MnO3)
P b n m,(La0.17 Nd0.5 Ca0.33) (Mn O3),293.0,0.101325,orthorhombic,(La0.17Nd0.5Ca0.33)(MnO3)
P b a m,Mn (H2 O)6 Zn Br4,293.0,0.101325,orthorhombic,Mn(H2O)6ZnBr4
P n m a,(Nd0.5 Sm0.5)0.5 Sr0.5 Mn O3,293.0,0.101325,orthorhombic,(Nd0.5Sm0.5)0.5Sr0.5MnO3
C m m 2,Cs2 (Mn F5) (H2 O),293.0,0.101325,orthorhombic,Cs2(MnF5)(H2O)
P n m a,La2 Cu0.5 Zn0.5 Mn O6,293.0,0.101325,orthorhombic,La2Cu0.5Zn0.5MnO6
C m c m,Sr Mn2 (Si2 O7) (O H)2 (H2 O),293.0,0.101325,orthorhombic,SrMn2(Si2O7)(OH)2(H2O)
P n c a,Na7 (Mn (H I O6)2 (H2 I O6)) (H2 O)18,293.0,0.101325,orthorhombic,Na7(Mn(HIO6)2(H2IO6))(H2O)18
P n m a,(Nd0.7 Sr0.08 Ca0.22) Mn O3,293.0,0.101325,orthorhombic,(Nd0.7Sr0.08Ca0.22)MnO3
P n m a,Sr La Mn Ru O6,305.0,0.101325,orthorhombic,SrLaMnRuO6
I b m m,(La1.33 Na0.66) (Mn0.66 Ti1.34) O6,300.0,0.101325,orthorhombic,(La1.33Na0.66)(Mn0.66Ti1.34)O6
P b n m,(La0.325 Sr0.65) (Mn O (O1.375 F0.575)),293.0,0.101325,orthorhombic,(La0.325Sr0.65)(MnO(O1.375F0.575))
P b n m,(La0.275 Sr0.65) (Mn O (O1.325 F0.625)),293.0,0.101325,orthorhombic,(La0.275Sr0.65)(MnO(O1.325F0.625))
P b n m,(La0.275 Sr0.7) (Mn O (O1.175 F0.775)),293.0,0.101325,orthorhombic,(La0.275Sr0.7)(MnO(O1.175F0.775))
P b n m,(La0.325 Sr0.65) (Mn O (O F0.95)),293.0,0.101325,orthorhombic,(La0.325Sr0.65)(MnO(OF0.95))
P n m a,(La0.184 Pr0.734 Na0.082) Mn O3,293.0,0.101325,orthorhombic,(La0.184Pr0.734Na0.082)MnO3
P b n m,Nd0.5 Ca0.5 (Mn0.97 Ru0.03) O3,300.0,0.101325,orthorhombic,Nd0.5Ca0.5(Mn0.97Ru0.03)O3
P b n m,Nd0.5 Ca0.5 (Mn0.97 Cr0.03) O3,300.0,0.101325,orthorhombic,Nd0.5Ca0.5(Mn0.97Cr0.03)O3
P b n m,(La0.667 (Ba0.125 Ca0.875)0.333) Mn O3,293.0,0.101325,orthorhombic,(La0.667(Ba0.125Ca0.875)0.333)MnO3
P b n m,(La0.667 (Ba0.25 Ca0.75)0.333) Mn O3,293.0,0.101325,orthorhombic,(La0.667(Ba0.25Ca0.75)0.333)MnO3
C m c m,Rb2 (Mn F5 (H2 O)),293.0,0.101325,orthorhombic,Rb2(MnF5(H2O))
C c c a Z,Mn Al2 (Si2 O6) (O H)4,293.0,0.101325,orthorhombic,MnAl2(Si2O6)(OH)4
A 21 a m,Bi2 La Nb1.5 Mn0.5 O9,300.0,0.101325,orthorhombic,Bi2LaNb1.5Mn0.5O9
P n m a,Mg5 (Mg1.48 Mn0.52) Si8 O22 (O H)2,293.0,0.1,orthorhombic,Mg5(Mg1.48Mn0.52)Si8O22(OH)2
P n m a,(La0.67 Ca0.33) (Mn0.99 Sn0.01) O3,293.0,0.101325,orthorhombic,(La0.67Ca0.33)(Mn0.99Sn0.01)O3
P b n 21,Li2 Co0.9375 Mn0.0625 Si O4,293.0,0.101325,orthorhombic,Li2Co0.9375Mn0.0625SiO4
P n m a,Nd0.75 Ba0.25 Mn0.5 Fe0.5 O3,293.0,0.101325,orthorhombic,Nd0.75Ba0.25Mn0.5Fe0.5O3
C m c m,K0.25 Mn0.95 Ir0.02 O2 (H2 O)0.68,293.0,0.101325,orthorhombic,K0.25Mn0.95Ir0.02O2(H2O)0.68
C m c m,K0.26 Mn0.90 Ir0.06 O2 (H2 O)0.71,293.0,0.101325,orthorhombic,K0.26Mn0.90Ir0.06O2(H2O)0.71
P n m a,(La0.9 Pr0.1) (Mn0.8 Co0.2) O3,293.0,0.101325,orthorhombic,(La0.9Pr0.1)(Mn0.8Co0.2)O3
P b n m,Nd0.67 Sr0.33 Mn0.9 Cr0.1 O3,293.0,0.101325,orthorhombic,Nd0.67Sr0.33Mn0.9Cr0.1O3
P b n m,Nd0.67 Sr0.33 Mn0.9 Fe0.1 O3,293.0,0.101325,orthorhombic,Nd0.67Sr0.33Mn0.9Fe0.1O3
P b n m,Nd0.67 Sr0.33 Mn0.9 Ni0.1 O3,293.0,0.101325,orthorhombic,Nd0.67Sr0.33Mn0.9Ni0.1O3
P n m a,Pr0.67 Ba0.33 Mn0.9 Ru0.1 O3,293.0,0.101325,orthorhombic,Pr0.67Ba0.33Mn0.9Ru0.1O3
P b n m,(La0.5 Pr0.2 Ca0.3) Mn O3,293.0,0.101325,orthorhombic,(La0.5Pr0.2Ca0.3)MnO3
P b n m,(La0.4 Pr0.3 Ca0.3) Mn O3,293.0,0.101325,orthorhombic,(La0.4Pr0.3Ca0.3)MnO3
P b n m,(La0.3 Pr0.4 Ca0.3) Mn O3,293.0,0.101325,orthorhombic,(La0.3Pr0.4Ca0.3)MnO3
P b n m,(La0.2 Pr0.5 Ca0.3) Mn O3,293.0,0.101325,orthorhombic,(La0.2Pr0.5Ca0.3)MnO3
P n m a,Sm0.592 Sr0.408 Mn0.912 Ti0.133 O2.546,293.0,0.101325,orthorhombic,Sm0.592Sr0.408Mn0.912Ti0.133O2.546
P n m a,Sm0.553 Sr0.403 Mn0.855 Ti0.152 O3.096,293.0,0.101325,orthorhombic,Sm0.553Sr0.403Mn0.855Ti0.152O3.096
P b n m,La1.75 Ca0.25 Mn Ti O6,293.0,0.101325,orthorhombic,La1.75Ca0.25MnTiO6
P b a m,(Ni0.5 Cu0.5)2 Mn B O5,295.0,0.101325,orthorhombic,(Ni0.5Cu0.5)2MnBO5
P b n m,(Nd0.5 Ca0.5) ((Mn0.99 Ru0.01) O3),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.99Ru0.01)O3)
P b n m,(Nd0.5 Ca0.5) ((Mn0.98 Ru0.02) O3),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.98Ru0.02)O3)
P b n m,(Nd0.5 Ca0.5) ((Mn0.97 Ru0.03) O3),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.97Ru0.03)O3)
P b n m,(Nd0.5 Ca0.5) ((Mn0.95 Ru0.05) O3.12),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.95Ru0.05)O3.12)
P b n m,(Nd0.5 Ca0.5) ((Mn0.93 Ru0.07) O3.27),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.93Ru0.07)O3.27)
P b n m,(Nd0.5 Ca0.5) ((Mn0.92 Ru0.08) O3.27),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.92Ru0.08)O3.27)
P b n m,(Nd0.5 Ca0.5) ((Mn0.9 Ru0.1) O3.18),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.9Ru0.1)O3.18)
P b n m,(Nd0.5 Ca0.5) ((Mn0.99 Cr0.01) O3),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.99Cr0.01)O3)
P b n m,(Nd0.5 Ca0.5) ((Mn0.98 Cr0.02) O3),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.98Cr0.02)O3)
P b n m,(Nd0.5 Ca0.5) ((Mn0.97 Cr0.03) O3),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.97Cr0.03)O3)
P b n m,(Nd0.5 Ca0.5) ((Mn0.96 Cr0.04) O3),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.96Cr0.04)O3)
P b n m,(Nd0.5 Ca0.5) ((Mn0.95 Cr0.05) O3.12),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.95Cr0.05)O3.12)
P b n m,(Nd0.5 Ca0.5) ((Mn0.93 Cr0.07) O3.15),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.93Cr0.07)O3.15)
P b n m,(Nd0.5 Ca0.5) ((Mn0.9 Cr0.1) O3.27),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.9Cr0.1)O3.27)
P b n m,(Nd0.5 Ca0.5) ((Mn0.99 Sc0.01) O3),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.99Sc0.01)O3)
P b n m,(Nd0.5 Ca0.5) ((Mn0.98 Sc0.02) O3),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.98Sc0.02)O3)
P b n m,(Nd0.5 Ca0.5) ((Mn0.97 Sc0.03) O3),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.97Sc0.03)O3)
P b n m,(Nd0.5 Ca0.5) ((Mn0.96 Sc0.04) O3.18),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.96Sc0.04)O3.18)
P b n m,(Nd0.5 Ca0.5) ((Mn0.95 Sc0.05) O3.21),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.95Sc0.05)O3.21)
P b n m,(Nd0.5 Ca0.5) ((Mn0.94 Sc0.06) O3.21),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.94Sc0.06)O3.21)
P b n m,(Nd0.5 Ca0.5) ((Mn0.92 Sc0.08) O3.24),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.92Sc0.08)O3.24)
P b n m,(Nd0.5 Ca0.5) ((Mn0.9 Sc0.1) O3.48),300.0,0.101325,orthorhombic,(Nd0.5Ca0.5)((Mn0.9Sc0.1)O3.48)
P n m a,(Pr0.55 Ca0.45) ((Mn0.97 Cr0.03) O3),293.0,0.101325,orthorhombic,(Pr0.55Ca0.45)((Mn0.97Cr0.03)O3)
P n m a,(Pr0.55 Ca0.45) ((Mn0.94 Cr0.06) O3),293.0,0.101325,orthorhombic,(Pr0.55Ca0.45)((Mn0.94Cr0.06)O3)
P n m a,La0.67 Ca0.33 ((Mn0.8 Cu0.2) O3),293.0,0.101325,orthorhombic,La0.67Ca0.33((Mn0.8Cu0.2)O3)
P n m a,Bi0.25 Ho0.25 Ca0.5 Mn O3,295.0,0.101325,orthorhombic,Bi0.25Ho0.25Ca0.5MnO3
P n m a,(Pr0.63 Bi0.07 Sr0.3) (Mn O3),293.0,0.101325,orthorhombic,(Pr0.63Bi0.07Sr0.3)(MnO3)
P n m a,(Pr0.63 Sm0.07 Sr0.3) (Mn O3),293.0,0.101325,orthorhombic,(Pr0.63Sm0.07Sr0.3)(MnO3)
P n m a,(La0.63 Ca0.37) (Mn0.97 Ni0.03) O3,293.0,0.101325,orthorhombic,(La0.63Ca0.37)(Mn0.97Ni0.03)O3
P n m a,(La0.63 Ca0.37) (Mn0.92 Ni0.08) O3,293.0,0.101325,orthorhombic,(La0.63Ca0.37)(Mn0.92Ni0.08)O3
P n m a,(La0.63 Ca0.37) (Mn0.92 Cr0.08) O3,293.0,0.101325,orthorhombic,(La0.63Ca0.37)(Mn0.92Cr0.08)O3
P n m a,(La0.5 Ca0.5) (Mn0.92 Ni0.08) O3,293.0,0.101325,orthorhombic,(La0.5Ca0.5)(Mn0.92Ni0.08)O3
P n m a,(La0.5 Ca0.5) (Mn0.92 Cr0.08) O3,293.0,0.101325,orthorhombic,(La0.5Ca0.5)(Mn0.92Cr0.08)O3
P n m a,(La0.25 Ca0.75) (Mn0.92 Cr0.08) O3,293.0,0.101325,orthorhombic,(La0.25Ca0.75)(Mn0.92Cr0.08)O3
P n m a,(Ho0.51 Ca0.49) ((Mn0.99 Cr0.01) O3),293.0,0.101325,orthorhombic,(Ho0.51Ca0.49)((Mn0.99Cr0.01)O3)
P n m a,(Ho0.52 Ca0.48) ((Mn0.98 Cr0.02) O3),293.0,0.101325,orthorhombic,(Ho0.52Ca0.48)((Mn0.98Cr0.02)O3)
P n m a,(Ho0.53 Ca0.47) ((Mn0.97 Cr0.03) O3),293.0,0.101325,orthorhombic,(Ho0.53Ca0.47)((Mn0.97Cr0.03)O3)
P n m a,(Pr0.55 Ca0.45) ((Mn0.97 Cr0.03) O3),300.0,0.101325,orthorhombic,(Pr0.55Ca0.45)((Mn0.97Cr0.03)O3)
P n m a,(Pr0.55 Ca0.45) ((Mn0.94 Cr0.06) O3),300.0,0.101325,orthorhombic,(Pr0.55Ca0.45)((Mn0.94Cr0.06)O3)
P b n m,(Nd0.6 Sr0.33 Eu0.07) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.6Sr0.33Eu0.07)(MnO3)
P b n m,(Nd0.5 Sr0.33 Eu0.17) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.5Sr0.33Eu0.17)(MnO3)
P b n m,(Nd0.4 Sr0.33 Eu0.27) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.4Sr0.33Eu0.27)(MnO3)
P b n m,(Nd0.3 Sr0.33 Eu0.37) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.3Sr0.33Eu0.37)(MnO3)
P b n m,(Nd0.2 Sr0.33 Eu0.47) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.2Sr0.33Eu0.47)(MnO3)
P b n m,(Nd0.1 Sr0.33 Eu0.57) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.1Sr0.33Eu0.57)(MnO3)
P n m a,((Pr0.333 Sm0.667)0.667 Ca0.333) (Mn O3),293.0,0.101325,orthorhombic,((Pr0.333Sm0.667)0.667Ca0.333)(MnO3)
P n m a,((La0.333 Sm0.667)0.667 Ca0.333) (Mn O3),293.0,0.101325,orthorhombic,((La0.333Sm0.667)0.667Ca0.333)(MnO3)
P n m a,(La0.69 Ca0.31) ((Mn0.96 Fe0.04) O3),293.0,0.101325,orthorhombic,(La0.69Ca0.31)((Mn0.96Fe0.04)O3)
P b n m,(Nd0.6 Eu0.07 Sr0.33) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.6Eu0.07Sr0.33)(MnO3)
P b n m,(Nd0.5 Eu0.17 Sr0.33) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.5Eu0.17Sr0.33)(MnO3)
P b n m,(Nd0.4 Eu0.27 Sr0.33) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.4Eu0.27Sr0.33)(MnO3)
P b n m,(Nd0.3 Eu0.37 Sr0.33) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.3Eu0.37Sr0.33)(MnO3)
P b n m,(Nd0.2 Eu0.47 Sr0.33) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.2Eu0.47Sr0.33)(MnO3)
P b n m,(Nd0.1 Eu0.57 Sr0.33) (Mn O3),293.0,0.101325,orthorhombic,(Nd0.1Eu0.57Sr0.33)(MnO3)
P n m a,(La0.7 Ca0.3) ((Cr0.7 Mn0.3) O3),290.0,0.101325,orthorhombic,(La0.7Ca0.3)((Cr0.7Mn0.3)O3)
P n m a,(La0.7 Ca0.3) ((Cr0.5 Mn0.5) O3),290.0,0.101325,orthorhombic,(La0.7Ca0.3)((Cr0.5Mn0.5)O3)
P n m a,(La0.7 Ca0.3) ((Cr0.15 Mn0.85) O3),290.0,0.101325,orthorhombic,(La0.7Ca0.3)((Cr0.15Mn0.85)O3)
P n m a,(La0.5 Ca0.5) ((Mn0.97 Cr0.03) O3),300.0,0.101325,orthorhombic,(La0.5Ca0.5)((Mn0.97Cr0.03)O3)
P n m a,(La0.5 Ca0.5) ((Mn0.92 Cr0.08) O3),300.0,0.101325,orthorhombic,(La0.5Ca0.5)((Mn0.92Cr0.08)O3)
P n m a,(La0.5 Ca0.5) ((Mn0.97 Ni0.03) O3),300.0,0.101325,orthorhombic,(La0.5Ca0.5)((Mn0.97Ni0.03)O3)
P n m a,(La0.5 Ca0.5) ((Mn0.92 Ni0.08) O3),300.0,0.101325,orthorhombic,(La0.5Ca0.5)((Mn0.92Ni0.08)O3)
P m n a,(La0.77 Sr0.23) (Mn0.5 Cu0.5) O3,293.0,0.101325,orthorhombic,(La0.77Sr0.23)(Mn0.5Cu0.5)O3
I m m a,(Bi0.75 La0.25) (Fe O3)0.75 (Mn O3)0.25,293.0,0.101325,orthorhombic,(Bi0.75La0.25)(FeO3)0.75(MnO3)0.25
I m m a,(Bi0.75 La0.25) ((Fe0.75 Mn0.25) O3),290.0,0.101325,orthorhombic,(Bi0.75La0.25)((Fe0.75Mn0.25)O3)
P n m a,(La0.5 Ca0.45 Ba0.05) (Mn O3),300.0,0.101325,orthorhombic,(La0.5Ca0.45Ba0.05)(MnO3)
P n m a,(La0.5 Ca0.4 Ba0.1) (Mn O3),300.0,0.101325,orthorhombic,(La0.5Ca0.4Ba0.1)(MnO3)
P n m a,(La0.5 Ca0.35 Ba0.15) (Mn O3),300.0,0.101325,orthorhombic,(La0.5Ca0.35Ba0.15)(MnO3)
P n m a,(La0.5 Ca0.30 Ba0.20) (Mn O3),300.0,0.101325,orthorhombic,(La0.5Ca0.30Ba0.20)(MnO3)
P n m a,(La0.5 Ca0.20 Ba0.30) (Mn O3),300.0,0.101325,orthorhombic,(La0.5Ca0.20Ba0.30)(MnO3)
P n m a,(La0.5 Ca0.10 Ba0.40) (Mn O3),300.0,0.101325,orthorhombic,(La0.5Ca0.10Ba0.40)(MnO3)
P n m a,(La0.76 Ca0.24) ((Mn0.93 Cr0.07) O3),293.0,0.101325,orthorhombic,(La0.76Ca0.24)((Mn0.93Cr0.07)O3)
P n m a,(Pr0.7 Ca0.2 Sr0.1) (Mn O3),293.0,0.101325,orthorhombic,(Pr0.7Ca0.2Sr0.1)(MnO3)
P n m a,(Pr0.7 Ca0.1 Sr0.2) (Mn O3),293.0,0.101325,orthorhombic,(Pr0.7Ca0.1Sr0.2)(MnO3)
P n m a,(La0.5 Sr0.5) ((Mn0.5 Fe0.5) O3),293.0,0.101325,orthorhombic,(La0.5Sr0.5)((Mn0.5Fe0.5)O3)
P n m a,(La0.5 Sr0.5) ((Mn0.6 Fe0.4) O3),293.0,0.101325,orthorhombic,(La0.5Sr0.5)((Mn0.6Fe0.4)O3)
P n m a,(La0.5 Sr0.5) ((Mn0.7 Fe0.3) O3),293.0,0.101325,orthorhombic,(La0.5Sr0.5)((Mn0.7Fe0.3)O3)
P n m a,(La0.5 Sr0.5) ((Mn0.8 Fe0.2) O3),293.0,0.101325,orthorhombic,(La0.5Sr0.5)((Mn0.8Fe0.2)O3)
P b n m,Sr0.94 La0.94 Mn Ti O6,300.0,0.101325,orthorhombic,Sr0.94La0.94MnTiO6
P b n m,(La0.7 Ca0.2 Ag0.1) (Mn O3),293.0,0.101325,orthorhombic,(La0.7Ca0.2Ag0.1)(MnO3)
P m n 21,Li2 Mg (Ge0.991 Mn0.009) O4,293.0,0.101325,orthorhombic,Li2Mg(Ge0.991Mn0.009)O4
P m n 21,(Li1.994 Mn0.006) Mg Ge O4,293.0,0.101325,orthorhombic,(Li1.994Mn0.006)MgGeO4
P m n 21,Li2 (Mg0.9995 Mn0.0005) Ge O4,293.0,0.101325,orthorhombic,Li2(Mg0.9995Mn0.0005)GeO4
P m n 21,(Li1.997 Mn0.003) Mg (Ge0.991 Mn0.0085) O4,293.0,0.101325,orthorhombic,(Li1.997Mn0.003)Mg(Ge0.991Mn0.0085)O4
P m n 21,Li2 (Mg0.9994 Mn0.0006) (Ge0.9906 Mn0.0094) O4,293.0,0.101325,orthorhombic,Li2(Mg0.9994Mn0.0006)(Ge0.9906Mn0.0094)O4
P m n 21,(Li0.99864 Mn0.00136)2 (Mg0.99953 Mn0.00047) (Ge0.99089 Mn0.00911) O4,293.0,0.101325,orthorhombic,(Li0.99864Mn0.00136)2(Mg0.99953Mn0.00047)(Ge0.99089Mn0.00911)O4
P n m a,Pr0.5 Ca0.5 (Mn0.9 Zn0.1) O3,293.0,0.101325,orthorhombic,Pr0.5Ca0.5(Mn0.9Zn0.1)O3
P n m a,(La0.4 Nd0.1 Ca0.5) Mn O3,300.0,0.101325,orthorhombic,(La0.4Nd0.1Ca0.5)MnO3
P n m a,(La0.3 Nd0.2 Ca0.5) (Mn O3),300.0,0.101325,orthorhombic,(La0.3Nd0.2Ca0.5)(MnO3)
P n m a,(La0.2 Nd0.3 Ca0.5) (Mn O3),300.0,0.101325,orthorhombic,(La0.2Nd0.3Ca0.5)(MnO3)
P n m a,(La0.1 Nd0.4 Ca0.5) (Mn O3),300.0,0.101325,orthorhombic,(La0.1Nd0.4Ca0.5)(MnO3)
P b n m,(La0.7 Ca0.3) (Mn0.96 Al0.04) O3,293.0,0.101325,orthorhombic,(La0.7Ca0.3)(Mn0.96Al0.04)O3
P b n m,(La0.7 Ca0.3) (Mn0.96 In0.04) O3,293.0,0.101325,orthorhombic,(La0.7Ca0.3)(Mn0.96In0.04)O3
P n m a,(Ca0.98 Dy0.02) ((Mn0.98 Nb0.02) O3),293.0,0.101325,orthorhombic,(Ca0.98Dy0.02)((Mn0.98Nb0.02)O3)
I m m a,(Nd0.5 Sr0.5) ((Co0.8 Mn0.2) O3),293.0,0.101325,orthorhombic,(Nd0.5Sr0.5)((Co0.8Mn0.2)O3)
I m m a,(Nd0.5 Sr0.5) ((Co0.6 Mn0.4) O3),293.0,0.101325,orthorhombic,(Nd0.5Sr0.5)((Co0.6Mn0.4)O3)
I m m a,(Nd0.5 Sr0.5) ((Co0.4 Mn0.6) O3),293.0,0.101325,orthorhombic,(Nd0.5Sr0.5)((Co0.4Mn0.6)O3)
I m m a,(Nd0.5 Sr0.5) ((Co0.2 Mn0.8) O3),293.0,0.101325,orthorhombic,(Nd0.5Sr0.5)((Co0.2Mn0.8)O3)
P n m a,(La0.667 Ca0.333) ((Mn0.85 Zn0.15) O3),293.0,0.101325,orthorhombic,(La0.667Ca0.333)((Mn0.85Zn0.15)O3)
P n m a,(La0.667 Ca0.333) ((Mn0.85 Cu0.15) O3),293.0,0.101325,orthorhombic,(La0.667Ca0.333)((Mn0.85Cu0.15)O3)
