CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
146777	P 63/m m c	(Sr0.4 Ba0.6) (Mn0.94 Ti0.06) O2.42	BaMnO3	Krivyakina, Elena; Poudel, Bisham; Li, Cheng; Kolesnik, Stanislaw; Dabrowski, Bogdan; Mitchell, J.F.; Rosenkranz, Stephan; Chmaissem, Omar	5.702(2) 5.702(2) 9.471(4) 90. 90. 120.	266.67	293.00	0.101325	2023	10	
148780	P 63/m m c	Na0.67 (Mn0.6 Ni0.2 Li0.2) O2	NaxCoO2	Yang, Liangtao; Kuo, Liang-Yin; López del Amo, Juan Miguel; Nayak, Prasant Kumar; Mazzio, Katherine A.; Maletti, Sebastian; Mikhailova, Daria; Giebeler, Lars; Kaghazchi, Payam; Rojo, Teófilo; Adelhelm, Philipp	2.89347(2) 2.89347(2) 10.9912(2) 90. 90. 120.	79.69	298.00	0.101325	2021	10	
149015	P 63	Na0.533 (Li0.14 Ni0.14 Mn0.72) O2		Saïbi, Valentin; Castro, Laurent; Sugiyama, Issei; Belin, Stéphanie; Delmas, Claude; Guignard, Marie	4.969(8) 4.969(8) 11.139(3) 90. 90. 120.	238.19	293.00	0.101325	2023	10	
150887	P 63/m	Y Ca3 (Mn O)3 (B O3)4	Ca4Mn3(BO3)3CO3O3	Li, R.-K.; Greaves, C.	10.5726(5) 10.5726(5) 5.8576(3) 90. 90. 120.	567.04	293.00	0.101325	2003	10	
150888	P 63/m	Y Ca3 (Mn O)3 (B O3)4	Ca4Mn3(BO3)3CO3O3	Li, R.-K.; Greaves, C.	10.5555(1) 10.5555(1) 5.8531(1) 90. 90. 120.	564.77	2.00	0.101325	2003	10	
160877	P 63/m m c	(Ba3 Sr3) Mn2 (Mn2 Cr2 O17)	Ba6Nd2Ti4O17	Clark, J.H.; Hayward, M.A.	5.6232(7) 5.6232(7) 28.201(4) 90. 90. 120.	772.26	298.00	0.101325	2008	10	
164998	P 63/m m c	Ba2 (Fe Mn0.5 W0.5) O5.99	BaFeO3-x	Ramesha, K.; Prakash, A.S.	5.7536(2) 5.7536(2) 14.0727(4) 90. 90. 120.	403.45	293.00	0.101325	2009	10	
168511	P -6 m 2	Ba8 Co2 Mn6 Cl O22		Iorgulescu, M.; Kabbour, H.; Tancret, N.; Mentre, O.; Roussel, P.	5.7207(2) 5.7207(2) 19.4099(10) 90. 90. 120.	550.11	293.00	0.101325	2010	10	
173769	P 63/m m c	(Sr0.78 Ba0.2 La0.02) Mn O3	BaMnO3	Taguchi, H.; Hirata, K.; Kato, M.; Hirota, K.	5.4962(4) 5.4962(4) 9.1172(5) 90. 90. 120.	238.52	293.00	0.101325	2009	10	
173770	P 63/m m c	(Sr0.68 Ba0.3 La0.02) Mn O3	BaMnO3	Taguchi, H.; Hirata, K.; Kato, M.; Hirota, K.	5.5116(3) 5.5116(3) 9.1196(3) 90. 90. 120.	239.92	293.00	0.101325	2009	10	
