CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
183486	C 1 2/c 1	Li (Mg0.5 Mn0.5) (B O3)	LiCo(BO3)	Yamane, H.; Kawano, T.; Fukuda, K.; Suehiro, T.; Sato, T.	5.1820(2) 8.9241(4) 10.1529(6) 90. 91.5824(18) 90.	469.34	298.00	0.101325	2012	10	
183830	P 1 21/n 1	Li2 Fe0.83 Mn0.17 (Si O4)	Li2(Fe,Mn)SiO4	Sirisopanaporn, C.; Dominko, R.; Masquelier, C.; Armstrong, A.R.; Mali, G.; Bruce, P.G.	8.2449(3) 5.0180(1) 8.2455(3) 90. 99.194(2) 90.	336.76	298.00	0.101325	2011	10	
183834	P 1 21/n 1	Li2 Fe0.46 Mn0.55 (Si O4)	Li2ZnSiO4	Sirisopanaporn, C.; Dominko, R.; Masquelier, C.; Armstrong, A.R.; Mali, G.; Bruce, P.G.	6.2827(2) 10.8574(4) 5.0553(2) 90. 90.879(5) 90.	344.80	298.00	0.101325	2011	10	
186429	P 1 21/n 1	La2 Ni (Mn0.8 Ti0.2) O6	Ba2LaRuO6(mcl)	Yang, W.Z.; Liu, X.Q.; Lin, Y.Q.; Chen, X.M.	5.5196(1) 5.4820(1) 7.7639(1) 90. 90.031(1) 90.	234.92	293.00	0.101325	2012	10	
186430	P 1 21/n 1	La2 Ni (Mn0.6 Ti0.4) O6	Ba2LaRuO6(mcl)	Yang, W.Z.; Liu, X.Q.; Lin, Y.Q.; Chen, X.M.	5.5263(2) 5.5022(2) 7.7893(3) 90. 90.078(18) 90.	236.85	293.00	0.101325	2012	10	
186431	P 1 21/n 1	La2 Ni (Mn0.4 Ti0.6) O6	Ba2LaRuO6(mcl)	Yang, W.Z.; Liu, X.Q.; Lin, Y.Q.; Chen, X.M.	5.5362(2) 5.5247(1) 7.8109(2) 90. 89.974(5) 90.	238.90	293.00	0.101325	2012	10	
186432	P 1 21/n 1	La2 Ni (Mn0.2 Ti0.8) O6	Ba2LaRuO6(mcl)	Yang, W.Z.; Liu, X.Q.; Lin, Y.Q.; Chen, X.M.	5.5441(2) 5.5448(1) 7.8289(2) 90. 90.002(15) 90.	240.67	293.00	0.101325	2012	10	
191605	I 1 2/m 1	(Ba La) (Mn Sb) O6	Ba2Bi2O6	Blanco, M. Cecilia; De Paoli, Juan M.; Ceppi, Sergio; Tirao, G.; Nassif, Vivian M.; Guimpel, J.; Carbonio, Raul E.	5.7508(5) 5.7638(4) 8.1422(7) 90. 90.244(1) 90.	269.88	300.00	0.101325	2014	10	
191606	I 1 2/m 1	(Ba La) (Mn Sb) O6	Ba2Bi2O6	Blanco, M. Cecilia; De Paoli, Juan M.; Ceppi, Sergio; Tirao, G.; Nassif, Vivian M.; Guimpel, J.; Carbonio, Raul E.	5.7285(4) 5.7387(3) 8.1045(5) 90. 90.277(1) 90.	266.43	100.00	0.101325	2014	10	
191607	P 1 21/n 1	(Ba La) (Mn Sb) O6	Ba2LaRuO6(mcl)	Blanco, M. Cecilia; De Paoli, Juan M.; Ceppi, Sergio; Tirao, G.; Nassif, Vivian M.; Guimpel, J.; Carbonio, Raul E.	5.7264(3) 5.7378(3) 8.1035(5) 90. 90.279(1) 90.	266.25	3.00	0.101325	2014	10	
